  0.00    3.131    0.055
  0.01    3.059    0.055
  0.02    3.056    0.055
  0.03    3.093    0.055
  0.04    3.056    0.055
  0.05    3.003    0.054
  0.06    2.980    0.054
  0.07    2.999    0.054
  0.08    3.051    0.054
  0.09    3.085    0.054
  0.10    3.015    0.054
  0.11    3.054    0.054
  0.12    3.105    0.054
  0.13    3.060    0.054
  0.14    3.133    0.054
  0.15    3.112    0.054
  0.16    3.122    0.053
  0.17    2.989    0.053
  0.18    2.989    0.053
  0.19    2.997    0.053
  0.20    3.056    0.053
  0.21    3.022    0.053
  0.22    3.007    0.053
  0.23    3.091    0.053
  0.24    3.069    0.053
  0.25    3.067    0.053
  0.26    3.093    0.052
  0.27    3.115    0.052
  0.28    3.092    0.052
  0.29    3.054    0.052
  0.30    3.219    0.052
  0.31    3.120    0.052
  0.32    3.056    0.052
  0.33    3.156    0.052
  0.34    3.116    0.052
  0.35    3.210    0.052
  0.36    3.158    0.051
  0.37    3.272    0.051
  0.38    3.239    0.051
  0.39    3.203    0.051
  0.40    3.240    0.051
  0.41    3.185    0.051
  0.42    3.305    0.051
  0.43    3.211    0.051
  0.44    3.280    0.051
  0.45    3.268    0.051
  0.46    3.220    0.050
  0.47    3.353    0.050
  0.48    3.233    0.050
  0.49    3.341    0.050
  0.50    3.246    0.050
  0.51    3.268    0.050
  0.52    3.338    0.050
  0.53    3.181    0.050
  0.54    3.190    0.050
  0.55    3.234    0.051
  0.56    3.194    0.051
  0.57    3.188    0.051
  0.58    3.210    0.051
  0.59    3.149    0.051
  0.60    3.230    0.051
  0.61    3.283    0.051
  0.62    3.125    0.051
  0.63    3.195    0.051
  0.64    3.120    0.051
  0.65    3.108    0.052
  0.66    3.101    0.052
  0.67    3.078    0.052
  0.68    3.095    0.052
  0.69    3.133    0.052
  0.70    3.132    0.052
  0.71    2.994    0.052
  0.72    2.963    0.052
  0.73    3.085    0.052
  0.74    3.044    0.052
  0.75    2.998    0.053
  0.76    2.970    0.053
  0.77    2.991    0.053
  0.78    3.059    0.053
  0.79    2.983    0.053
  0.80    3.022    0.053
  0.81    3.072    0.053
  0.82    3.046    0.053
  0.83    3.020    0.053
  0.84    3.028    0.053
  0.85    3.043    0.054
  0.86    3.065    0.054
  0.87    2.997    0.054
  0.88    3.022    0.054
  0.89    3.094    0.054
  0.90    3.067    0.054
  0.91    3.174    0.054
  0.92    3.110    0.054
  0.93    3.129    0.054
  0.94    3.043    0.054
  0.95    3.128    0.054
  0.96    3.205    0.055
  0.97    3.120    0.055
  0.98    3.101    0.055
  0.99    3.201    0.055
  1.00    3.163    0.055
